LOAD,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,3820805010198991e-21,-5962456511117431e-20,0.0014338711363060253,0.0014941004069746328,0.001469995670092733,-0.0014442424923215569,-0.0014712024455554445,0.0001539812739853319,-0.0014903686328622268,-0.0015017687859727319,-0.0014734368634695266,-8030829298094622e-23,-6166839339530328e-23,-27128560203513313e-21,51344706620361225e-21,-0.00015133205151416848,-11457613808569383e-21,0.00013588596511882392,-16366166382536518e-23,-0.0005301642986563389,-0.0005570132803808386,0.0004161410964609591
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,-0.021470221003516032,-0.019641430272168137,-0.03326465373620535,0.033275529992564445,-0.03327908685236691,-0.0332350521170075,0.03327453993230334,-0.030933890621503313,-0.03327483458057423,-0.033279868204587615,0.033273981455929746,-0.005044317050326874,0.0001609985246111556,-0.010073210100489949,0.009614396562078742,-0.010079587793792144,-0.007151998497376411,0.010076458759603946,-0.00908537400819509,-0.010069911079567229,-0.010056543619382685,0.010077357429254308
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,43659741530810425e-21,-0.001037929281632155,0.006271821559930779,0.006339653850519211,0.006310899643012846,-0.006287978508744185,-0.006319442228251038,0.002340621685807842,-0.0063365639644544225,-0.006347757675266463,-0.006305442863424715,-12113979853151102e-21,-12033923149079584e-21,10816863612872485e-21,0.0009632343594246362,-9232459483168864e-20,-0.0001348629269138646,0.0005446881262008707,-12479801168058247e-21,-0.002826860355570948,-0.0033498180241089137,0.0010383431181402725
65,-0.007319017922959192,-0.006345932003099741,-0.016522720913227706,0.016533525051493192,-0.0165370846706695,-0.0164930927058915,0.0165325517054421,-0.014291115453895165,-0.016532836794293848,-0.016537861960526534,0.016532003256804595,-0.0010038890797938738,2572723686544709e-20,-0.00401321637488905,0.0035718048313044537,-0.004019587982105249,-0.0018145108291461876,0.004016461234829488,-0.003105881674529992,-0.004009922931633048,-0.003996468195113484,0.004017358895598622
475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,-0.0048625379316523665,-0.004141238163017036,-0.012998770850234043,0.013009528290841343,-0.013013087490833186,-0.012969138654530976,0.01300856465650646,-0.01082085903607144,-0.01300884595104268,-0.013013862078507743,0.013008021547792792,-0.0005745460522871004,14323226402990219e-21,-0.0029932200105092788,0.0025650792864685412,-0.0029995880936727337,-0.0011025807310506286,0.002996462678465872,-0.002129540796329099,-0.0029899319009069614,-0.002976703099727196,0.0029973596359119115
362,2446786032023196e-20,-0.0011145669070325437,0.0065211125767663525,0.006599512614819225,0.006558999375660679,-0.006548949236689083,-0.006577389260541522,0.002438786612282695,-0.0066026473957310206,-0.006607759229633914,-0.006445006681462195,-8729087076775333e-22,-6864250522153892e-23,-0.000996028299086557,0.0011980572951540286,-0.0018760968450769328,-0.00026765579558533925,0.0019859694631828573,-5928834445834141e-21,-0.00201630765435018,-0.001989963451489718,0.0019420611886419165
619,952286672700059e-20,-33066435946235706e-21,0.001069310121077048,0.001096728760320645,0.001088892080968136,-0.001052774911359293,0.0009135349477826793,0.00010901066492924327,-0.0010933591009009425,-0.00110183414441873,-0.0010986099335648647,-38510660129581487e-24,-3809964741093019e-23,-16906198654388638e-23,10201004496763685e-21,-2896915545502754e-22,-12856879062390913e-22,-7795780763292237e-23,-413260532374643e-22,-1984085931159077e-20,-0.00012679023254769106,0.000247821796011018
